        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +2.854374675426e-03,        +2.851972788266e-03,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +2.854374675426e-03,        +2.854328288243e-03,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +2.854374675426e-03,        +2.853758770996e-03,        +0.000000000000e+00,        +0.000000000000e+00
