        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +6.401774510316e+00,        +5.645794230826e+00,        +7.559319739496e-01,        +2.209090455784e-12,        +5.412903052471e+01
 2.00e+00,        +1.793937349875e+01,        +3.988262409954e-03,        +2.249021265164e+03,        +2.921460802768e-09,        +1.504479694086e+05
 3.00e+00,        +1.911744586669e+01,        +5.534298427623e+00,        +1.798095274821e+00,        +1.291260156056e-09,        +7.377309486543e+04
