        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.951311816930e+00,        +2.192501089202e+00,        +1.446369145946e+00,        +1.143598360848e-09,        +5.810713249233e-03
 2.00e+00,        +1.028235996722e+01,        +7.350597124527e-02,        +6.994413193509e+01,        +4.926786068407e-09,        +2.503340366690e-02
