        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A)
 1.00e+00,        +1.054570012415e-01,        -1.548579263640e-02,        +4.675110054350e-02,        -1.734874796910e-01,        +1.327236952079e-15,        -3.163283054118e-15
 2.00e+00,        -5.729548645092e-04,        -2.008601893824e-04,        -2.971304119889e-03,        +8.728182115575e-03,        -1.043765281592e-15,        -2.919504649465e-15
