        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V)
 1.00e+00,        +4.808839256613e+00,        -7.061521442199e-01,        +6.487251152346e-06,        +1.748173017525e-06,        +1.881206651777e-03,        +7.893087466470e-04
 2.00e+00,        -2.612674182162e-02,        -9.159224635840e-03,        -5.638926987017e-07,        -1.919639939499e-07,        +2.999768360848e-03,        -1.072460723241e-03
