        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +9.206369027458e-03,        +9.343777286305e-03,        +0.000000000000e+00,        +1.614178550587e-08
 2.00e+00,        +9.206369027458e-03,        +9.214192601894e-03,        +0.000000000000e+00,        +4.250490568420e-11
