        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00e+00,        +6.057627768417e-02,        -1.375831344066e-02,        +1.071357044681e-02,        -1.217542905239e-01
 2.00e+00,        +1.867409919648e-05,        -3.121976056702e-05,        +1.084599366311e-04,        +2.716374219027e-04
 3.00e+00,        -6.241781845180e-02,        -4.232125236953e-03,        +1.849278777070e-02,        -1.144517996440e-01
