        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00e+00,        +3.028813884209e+00,        -6.879156720328e-01,        +6.320033810020e-06,        +5.561210792535e-07
 2.00e+00,        +9.337049598238e-04,        -1.560988028351e-03,        -3.507974570182e-08,        +1.400671148034e-08
 3.00e+00,        -3.120890922590e+00,        -2.116062618477e-01,        +1.777248986755e-05,        +2.871627045619e-06
