        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.535877086034e+00,        +5.378965982874e+00
 2.00e+00,        +1.114161575183e+07,        +1.844755405346e-06
 3.00e+00,        +4.529887912890e+00,        -5.455798536988e+00
