        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +2.854374675426e-03,        +2.848268742241e-03,        +0.000000000000e+00,        +7.469443926346e-09
 2.00e+00,        +2.854374675426e-03,        +2.854304007984e-03,        +0.000000000000e+00,        +4.277522341598e-14
 3.00e+00,        +2.854374675426e-03,        +2.853631203275e-03,        +0.000000000000e+00,        +6.720598820646e-09
