        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +6.595444347355e+11,        +6.215010952468e+11
 2.00e+00,        +6.215010952468e+11,        +1.700819965808e+12
