        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +9.132624517529e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +2.280928115638e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +2.470424852275e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
