        i,              Φ_elec[1] (C),              Φ_elec[2] (C),              Φ_elec[3] (C)
 1.00e+00,        +4.983103788696e-12,        -1.201043366032e-12,        -1.934998145726e-13
 2.00e+00,        -4.834851736960e-13,        +1.559716389545e-12,        +1.228717383427e-14
 3.00e+00,        -8.179965735657e-14,        -9.208135881875e-14,        +1.874410961473e-13
