        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +4.844262071965e-13,        -9.543027570628e-14,        -1.185228415264e-13
 2.00e+00,        -9.543027570628e-14,        +1.212848561627e-13,        -6.895743648395e-15
 3.00e+00,        -1.185228415264e-13,        -6.895743648395e-15,        +1.305865411074e-13
