        i,              Φ_elec[1] (C),              Φ_elec[2] (C),              Φ_elec[3] (C)
 1.00e+00,        +4.974290966331e-12,        -1.189243831146e-12,        -1.794192906170e-13
 2.00e+00,        -4.746292249375e-13,        +1.545825779363e-12,        +1.362329515619e-14
 3.00e+00,        -8.362508788278e-14,        -9.120709150433e-14,        +1.717781195038e-13
