        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +8.658805551667e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +2.147253886025e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +2.173257141747e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
