        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +4.806693143510e-13,        -9.120189429613e-14,        -1.190072778583e-13
 2.00e+00,        -9.120189429613e-14,        +1.170243045949e-13,        -6.893667748451e-15
 3.00e+00,        -1.190072778583e-13,        -6.893667748451e-15,        +1.310646730444e-13
