        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F)
 1.00e+00,        +3.434420153880e+12,        +2.869075292150e+12,        +3.267957540384e+12
 2.00e+00,        +2.869075292150e+12,        +1.096853268875e+13,        +3.184121941096e+12
 3.00e+00,        +3.267957540384e+12,        +3.184121941096e+12,        +1.083287444524e+13
