        m,                   Q_ext[2],             κ_ext[2] (GHz),                   Q_ext[3],             κ_ext[3] (GHz)
 1.00e+00,        +3.822922186344e+07,        -8.965155206213e-08,        +3.753364917466e+17,        +9.131297248067e-18
 2.00e+00,        +1.527432661832e+00,        +3.889997387113e+00,        +1.036214542028e+07,        +5.734052961552e-07
