        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +9.206369027459e-03,        +6.855388087314e-05,        +0.000000000000e+00,        +9.137804038150e-03
 2.00e+00,        +9.206369027458e-03,        +9.209804801386e-03,        +0.000000000000e+00,        +2.434994593484e-11
