        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.876931321766e+00,        -5.120759494816e-04,        +2.809086591796e+03,        +1.338809951921e-17,        +2.601379513079e-03
 2.00e+00,        +5.574354023922e+00,        +5.330517106632e-04,        +5.228717906629e+03,        +6.490864756910e-10,        +2.443725334119e+05
