        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A)
 1.00e+00,        -1.953716821751e-05,        +3.012769684839e-02,        +2.794076272368e-05,        +1.837757575814e-05,        -9.023913641037e-04,        -1.123079896891e-03
 2.00e+00,        -5.374183349366e-06,        -6.225233018842e-04,        -2.305532264799e-04,        +7.973385870678e-04,        -4.676114152283e+03,        +8.800384381613e+04
