        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V)
 1.00e+00,        +1.160478986269e+01,        -2.562735142152e-04,        -6.417344897732e-04,        +1.710614781530e-03,        +8.480403434893e-16,        +2.873501259385e-16
 2.00e+00,        +1.002376847326e-03,        +3.033573039865e-04,        +4.704071969203e+00,        -8.927524021511e-01,        +6.830585681875e-10,        +3.558059578521e-10
