        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +3.719312917176e-01,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.918378964188e-01,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
