        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +9.958784504193e+11,        +9.631215447059e+11
 2.00e+00,        +9.631215447059e+11,        +2.058305545979e+12
