        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F)
 1.00e+00,        +3.461864025754e+12,        +2.878075099636e+12,        +3.269930572538e+12
 2.00e+00,        +2.878075099636e+12,        +1.119921653774e+13,        +3.250042969883e+12
 3.00e+00,        +3.269930572538e+12,        +3.250042969883e+12,        +1.176858235851e+13
