        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +4.598442407518e-13,        -8.816156351183e-14,        -1.034219615122e-13
 2.00e+00,        -8.816156351183e-14,        +1.139739611803e-13,        -6.979437024073e-15
 3.00e+00,        -1.034219615122e-13,        -6.979437024073e-15,        +1.156355168871e-13
