        i,              Φ_elec[1] (C),              Φ_elec[2] (C),              Φ_elec[3] (C)
 1.00e+00,        +4.806123647123e-12,        -1.282325832491e-12,        -2.274601546912e-13
 2.00e+00,        -3.589042326606e-13,        +1.674348552574e-12,        +1.473695621744e-14
 3.00e+00,        +4.509903475562e-14,        -1.020830632597e-13,        +2.188276134722e-13
