        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +9.206369027458e-03,        +9.481996832642e-03,        +0.000000000000e+00,        +1.649309738498e-08
 2.00e+00,        +9.206369027458e-03,        +9.131384522817e-03,        +0.000000000000e+00,        +2.834921333818e-12
