        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00e+00,        +4.775284133960e+00,        -8.733679507009e-01,        +6.551352763615e-06,        +1.529331146551e-06
 2.00e+00,        -5.089277824726e-04,        -4.156120461637e-03,        -1.378104148345e-07,        -6.974568791002e-08
