        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00e+00,        +1.047211432886e-01,        -1.915280593642e-02,        +4.128713977923e-02,        -1.768659573202e-01
 2.00e+00,        -1.116069698405e-05,        -9.114299257976e-05,        -1.075232771760e-03,        +2.124551047673e-03
