        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.895312993332e+00,        +2.202535889418e+00,        +1.428653278584e+00,        +1.995456894520e-09,        +1.013824250417e-02
 2.00e+00,        +1.032369109440e+01,        +3.837128961011e-02,        +1.345245691325e+02,        +1.037059185378e-08,        +5.268950792263e-02
