        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +2.219470169240e-01,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.653985439444e-01,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
