        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +1.792657819612e+12,        +1.738157268952e+12
 2.00e+00,        +1.738157268952e+12,        +3.071346021899e+12
