        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +3.442927736148e+00,        +5.982901715126e-06,        +2.877305946251e+05,        +1.406948272906e-10,        +7.148044372467e-04
 2.00e+00,        +6.017642689193e+00,        +2.168528475406e+00,        +1.474835924003e+00,        +1.227577244979e-09,        +6.236747004130e-03
 3.00e+00,        +1.034528312559e+01,        +1.485845176805e-02,        +3.481282558014e+02,        +6.870339154939e-09,        +3.490500762765e-02
