        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F)
 1.00e+00,        +3.460955260413e+12,        +2.886878809359e+12,        +3.269839133583e+12
 2.00e+00,        +2.886878809359e+12,        +1.106582208601e+13,        +3.249404145446e+12
 3.00e+00,        +3.269839133583e+12,        +3.249404145446e+12,        +1.176549497753e+13
