        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +8.699762862188e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +2.183589997897e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +2.178953623832e-02,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
