        m,                   Q_ext[1],             κ_ext[1] (GHz),                   Q_ext[2],             κ_ext[2] (GHz)
 1.00e+00,        +1.529189367636e+00,        +3.905316078640e+00,        +1.702886963008e+06,        -3.506966671567e-06
 2.00e+00,        +8.049483346751e+05,        -1.293064249622e-05,        +2.451605510362e+03,        -4.245584821711e-03
