        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +6.074199373281e+00,        +2.129386456576e+00,        +1.511380976671e+00,        +1.235570842805e-09,        +6.277204680193e-03
 2.00e+00,        +1.039297839101e+01,        +6.419867882075e-02,        +8.094540932549e+01,        +2.821004984174e-09,        +1.433186680321e-02
