        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00e+00,        +4.689968310536e+00,        -7.711187267972e-01,        -6.344092568432e-10,        +5.699238370807e-11
 2.00e+00,        -8.645271409874e-03,        +2.387486524491e-04,        -2.029453960984e-08,        -8.905397764781e-09
