        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +9.206369027458e-03,        +9.142623920079e-03,        +0.000000000000e+00,        +1.599600830636e-08
 2.00e+00,        +9.206369027459e-03,        +9.164947769309e-03,        +0.000000000000e+00,        +6.173637129843e-12
