        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.00e+00,        +9.379936621073e-02,        -1.542237453594e-02,        -6.344092568432e+02,        +5.699238370807e+01
 2.00e+00,        -1.729054281975e-04,        +4.774973048983e-06,        -2.029453960984e+04,        -8.905397764781e+03
