        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +1.801869867452e+12,        +1.740545481756e+12
 2.00e+00,        +1.740545481756e+12,        +3.243893178569e+12
